gl	gt18_3	optimal	118.686	118.686	118.552	55	0.0178323	53/53
lap	gt18_3	optimal	118.686	118.686	118.552	55	0.0171747	53/53
none	gt18_4	optimal	125.945	125.945	0	57	0.00761712	53/53
dual	gt18_3	optimal	118.686	118.686	118.686	55	0.0868312	53/53
gl	gt18_4	optimal	125.945	125.945	125.068	56	0.00555992	53/53
lap	gt18_4	optimal	125.945	125.945	125.068	56	0.00672292	53/53
dual	gt18_4	optimal	125.945	125.945	125.945	56	0.0573302	53/53
gl	q10_0	optimal	59.035	0	40.8016	1811	0.141687	0/10
lap	q10_0	optimal	59.035	0	41.1165	1438	0.165169	0/10
dual	q10_0	optimal	59.035	0	48.951	364	0.183745	0/10
dual	q10_1	optimal	82.3547	0	57.0972	4135	2.07956	0/10
gl	q10_2	optimal	80.0308	0	41.4956	19498	1.21196	0/10
gl	q10_1	optimal	82.3547	0	44.637	81949	4.69421	0/10
lap	q10_2	optimal	80.0308	0	41.6267	15771	1.56764	0/10
lap	q10_1	optimal	82.3547	0	45.8916	69832	6.08396	0/10
dual	q10_2	optimal	80.0308	0	55.0699	3910	1.93314	0/10
gl	q10_3	optimal	60.967	0	32.4647	13564	0.743246	0/10
dual	q10_3	optimal	60.967	0	43.9783	1292	0.471817	0/10
lap	q10_3	optimal	60.967	0	32.6206	11728	0.917302	0/10
gl	q10_4	optimal	62.1077	0	35.6569	8415	0.405032	0/10
lap	q10_4	optimal	62.1077	0	36.067	7256	0.527243	0/10
dual	q10_4	optimal	62.1077	0	48.2621	767	0.315219	0/10
none	q10_0	timeout	63.0743	0	0	24683520	120.008	0/10
none	q10_1	timeout	93.4842	0	0	26044416	120.001	0/10
none	q10_2	timeout	83.6228	0	0	25139200	120.006	0/10
dual	q12_0	optimal	115.447	0	86.5996	4001	3.11556	0/12
none	q10_3	timeout	67.6697	0	0	22677504	120	0/10
none	q10_4	timeout	70.2239	0	0	27363328	120.009	0/10
none	q12_0	timeout	130.747	0	0	21419008	120.007	0/12
gl	q12_0	optimal	115.447	0	64.3963	171492	12.8493	0/12
lap	q12_0	optimal	115.447	0	64.5581	141902	14.9255	0/12
dual	q12_1	optimal	123.113	0	88.6946	19789	13.2309	0/12
gl	q12_2	optimal	100.259	0	54.2683	214239	14.3804	0/12
dual	q12_2	optimal	100.259	0	75.6211	4825	3.64768	0/12
lap	q12_2	optimal	100.259	0	55.1181	146657	14.9722	0/12
gl	q12_1	optimal	123.113	0	68.5476	687079	44.2868	0/12
lap	q12_1	optimal	123.113	0	70.1851	526958	49.5765	0/12
dual	q12_3	optimal	131.043	0	91.5073	13287	10.7855	0/12
gl	q12_3	optimal	131.043	0	70.9406	720352	49.9806	0/12
gl	q12_4	optimal	119.559	0	67.2124	94674	5.89453	0/12
lap	q12_3	optimal	131.043	0	73.8135	493150	48.2609	0/12
dual	q12_4	optimal	119.559	0	88.343	4900	3.08402	0/12
lap	q12_4	optimal	119.559	0	68.5977	78020	6.86169	0/12
none	q12_1	timeout	138.307	0	0	12878848	120	0/12
none	q12_2	timeout	121.725	0	0	14564352	120.003	0/12
none	q12_3	timeout	146.367	0	0	13794304	120.001	0/12
dual	q14_0	optimal	156.349	0	112.825	48948	34.7474	0/14
none	q12_4	timeout	130.76	0	0	14163968	120.006	0/12
none	q14_0	timeout	160.447	0	0	12604416	120.003	0/14
gl	q14_0	timeout	156.349	0	91.542	1792000	120	0/14
dual	q14_1	optimal	151.371	0	108.794	17085	12.878	0/14
lap	q14_0	timeout	156.349	0	91.7162	1248256	120.067	0/14
gl	q14_1	optimal	151.371	0	87.2949	1376779	92.9523	0/14
none	q14_1	timeout	158.364	0	0	13034496	120.009	0/14
lap	q14_1	optimal	151.371	0	87.8624	861085	86.8512	0/14
dual	q14_2	optimal	154.598	0	106.752	28821	20.3361	0/14
gl	q14_2	optimal	154.598	0	80.9954	1488028	99.9786	0/14
none	q14_2	timeout	192.613	0	0	14414848	120.005	0/14
lap	q14_2	optimal	154.598	0	84.1419	1012520	99.5893	0/14
gl	q14_3	optimal	178.379	0	96.8175	1140624	81.1414	0/14
lap	q14_3	optimal	178.379	0	99.6614	728800	78.9076	0/14
dual	q14_3	optimal	178.379	0	126.668	42832	29.9463	0/14
none	q14_3	timeout	201.546	0	0	13078528	120.001	0/14
none	q14_4	timeout	189.458	0	0	13842432	120.004	0/14
gl	q14_4	timeout	173.7	0	84.7332	2030592	120.034	0/14
lap	q14_4	timeout	173.7	0	86.6422	1405952	120.045	0/14
dual	q14_4	timeout	167.639	0	110.225	161792	120.712	0/14
none	q16_0	timeout	299.394	0	0	12009472	120.007	0/16
gl	q16_0	timeout	289.216	0	157.776	1745920	120.035	0/16
lap	q16_0	timeout	289.216	0	161.08	1292288	120.002	0/16
dual	q16_0	timeout	284.943	0	195.041	193536	120.006	0/16
none	q16_1	timeout	244.508	0	0	18309120	120.026	0/16
gl	q16_1	timeout	231.217	0	116.971	2611200	120.136	0/16
lap	q16_1	timeout	231.217	0	119.084	1636352	120.081	0/16
dual	q16_1	timeout	231.217	0	150.923	253952	120.298	0/16
none	q16_2	timeout	262.145	0	0	13395968	120.003	0/16
gl	q16_2	timeout	252.185	0	138.836	2201600	120.044	0/16
lap	q16_2	timeout	252.185	0	143.415	1080320	120.051	0/16
dual	q16_2	timeout	247.812	0	171.887	123904	120.773	0/16
none	q16_3	timeout	253.359	0	0	10189824	120.001	0/16
gl	q16_3	timeout	236.595	0	117.129	1868800	120.024	0/16
lap	q16_3	timeout	236.595	0	119.28	1247232	120.082	0/16
none	q4_0	optimal	9.97496	0	0	49809	0.156966	0/4
gl	q4_0	optimal	9.97496	0	6.92536	78	0.00225137	0/4
lap	q4_0	optimal	9.97496	0	6.92536	78	0.000476083	0/4
dual	q4_0	optimal	9.97496	0	9.49952	75	0.00403842	0/4
none	q4_1	optimal	6.75154	0	0	32605	0.104077	0/4
gl	q4_1	optimal	6.75154	0	5.98074	91	0.000645209	0/4
lap	q4_1	optimal	6.75154	0	5.98074	91	0.000851416	0/4
dual	q4_1	optimal	6.75154	0	6.48441	76	0.00273125	0/4
dual	q16_3	timeout	230.561	0	151.901	147456	120.685	0/16
gl	q4_2	optimal	9.4106	0	8.7672	78	0.00100896	0/4
none	q4_2	optimal	9.4106	0	0	76074	0.231385	0/4
lap	q4_2	optimal	9.4106	0	8.7672	78	0.002901	0/4
dual	q4_2	optimal	9.4106	0	9.17419	78	0.00930317	0/4
none	q4_3	optimal	6.73654	0	0	27607	0.0942332	0/4
gl	q4_3	optimal	6.73654	0	6.37325	89	0.000346584	0/4
lap	q4_3	optimal	6.73654	0	6.37942	89	0.00179033	0/4
dual	q4_3	optimal	6.73654	0	6.73654	75	0.00123117	0/4
none	q4_4	optimal	8.85329	0	0	8465	0.0292104	0/4
dual	q16_4	optimal	226.911	0	176.066	80055	70.2283	0/16
gl	q4_4	optimal	8.85329	0	6.95495	92	0.00093225	0/4
lap	q4_4	optimal	8.85329	0	6.98584	92	0.000719541	0/4
dual	q4_4	optimal	8.85329	0	8.72553	75	0.00236046	0/4
gl	q6_0	optimal	19.8981	0	13.6556	106	0.000705583	0/6
lap	q6_0	optimal	19.8981	0	15.4911	106	0.00326133	0/6
dual	q6_0	optimal	19.8981	0	18.5303	106	0.0100787	0/6
gl	q6_1	optimal	13.6624	0	11.4526	214	0.00428879	0/6
lap	q6_1	optimal	13.6624	0	11.5394	214	0.00299983	0/6
dual	q6_1	optimal	13.6624	0	13.1875	106	0.00885987	0/6
none	q6_2	optimal	19.0294	0	0	322809	1.52181	0/6
gl	q6_2	optimal	19.0294	0	15.6436	119	0.00187638	0/6
lap	q6_2	optimal	19.0294	0	15.9201	119	0.00369879	0/6
dual	q6_2	optimal	19.0294	0	18.1239	106	0.00685279	0/6
none	q6_1	optimal	13.6624	0	0	677662	3.26591	0/6
gl	q6_3	optimal	19.7903	0	13.8757	338	0.00796346	0/6
lap	q6_3	optimal	19.7903	0	14.9174	322	0.0121296	0/6
dual	q6_3	optimal	19.7903	0	17.4545	106	0.0101448	0/6
none	q6_0	optimal	19.8981	0	0	1274948	6.14915	0/6
gl	q6_4	optimal	14.3547	0	9.30208	119	0.000677833	0/6
lap	q6_4	optimal	14.3547	0	10.4057	119	0.00132621	0/6
dual	q6_4	optimal	14.3547	0	12.9362	106	0.00714354	0/6
none	q6_3	optimal	19.7903	0	0	1003882	4.52646	0/6
gl	q8_0	optimal	37.3672	0	23.0533	1043	0.0341783	0/8
lap	q8_0	optimal	37.3672	0	23.7661	869	0.045279	0/8
dual	q8_0	optimal	37.3672	0	29.9507	628	0.113022	0/8
none	q6_4	optimal	14.3547	0	0	1545745	7.05808	0/6
gl	q8_1	optimal	44.9054	0	25.7944	5154	0.151171	0/8
lap	q8_1	optimal	44.9054	0	25.8094	4737	0.192279	0/8
none	q16_4	timeout	269.725	0	0	11377664	120.002	0/16
dual	q8_1	optimal	44.9054	0	34.9405	498	0.132492	0/8
gl	q8_2	optimal	37.7426	0	21.4221	876	0.0340773	0/8
lap	q8_2	optimal	37.7426	0	21.4377	766	0.045717	0/8
dual	q8_2	optimal	37.7426	0	30.1619	388	0.0671585	0/8
gl	q16_4	timeout	236.929	0	141.744	1714176	120.058	0/16
gl	q8_3	optimal	42.4206	0	25.0771	2903	0.10495	0/8
lap	q8_3	optimal	42.4206	0	25.1471	2365	0.121711	0/8
dual	q8_3	optimal	42.4206	0	32.8483	285	0.0426272	0/8
lap	q16_4	timeout	232.788	0	147.335	1116160	120.122	0/16
gl	q8_4	optimal	45.274	0	27.5686	899	0.0326115	0/8
lap	q8_4	optimal	45.274	0	29.1423	803	0.0400112	0/8
dual	q8_4	optimal	45.274	0	35.9678	319	0.0785229	0/8
none	q8_0	timeout	42.2866	0	0	24745984	120.007	0/8
none	q8_1	timeout	48.059	0	0	23660544	120.003	0/8
none	q8_2	timeout	37.7426	0	0	21020672	120	0/8
none	q8_3	timeout	46.703	0	0	22733824	120.001	0/8
none	q8_4	timeout	45.5998	0	0	24423424	120	0/8
