none	2	optimal	2.30619	2.30619	0	1125	0.00755458	5/5
none	4	optimal	3.68239	3.68985	0	1474	0.00850483	6/7
none	1	optimal	13.1002	13.1002	0	12871	0.131699	10/10
none	5	optimal	9.22103	9.22103	0	765	0.0117439	7/7
none	3	optimal	11.7156	11.7156	0	11890	0.122977	9/9
none	6	optimal	4.52543	4.52543	0	6091	0.0326362	5/5
none	7	optimal	3.84507	3.84507	0	3586	0.0213977	5/5
none	10	optimal	2.76133	2.76133	0	1734	0.0031305	4/4
none	9	optimal	7.60969	7.60969	0	18914	0.135033	8/8
none	16	optimal	3.10128	3.10128	0	974	0.0117609	4/4
none	14	optimal	5.43699	5.54898	0	28898	0.217903	7/8
none	18	optimal	3.59334	3.67465	0	4807	0.0282333	3/5
none	8	optimal	10.5728	10.5728	0	110405	0.732373	7/7
none	17	optimal	15.5994	15.5994	0	27611	0.401722	9/9
none	20	optimal	9.3549	9.3549	0	7797	0.154389	6/6
none	11	optimal	10.9953	10.9953	0	44942	0.797845	9/9
none	23	optimal	4.78327	4.78327	0	2416	0.0142961	4/4
none	25	optimal	9.23882	9.23882	0	14069	0.11603	6/6
none	13	optimal	15.0667	15.0667	0	116921	1.79226	9/9
none	12	optimal	8.23854	8.23854	0	400534	3.37826	7/7
none	28	optimal	2.61732	2.61732	0	536	0.00338104	5/5
none	24	optimal	8.44729	8.44729	0	425239	3.10578	7/7
none	30	optimal	6.21791	6.42487	0	908	0.00900138	6/7
none	15	optimal	14.2524	14.2524	0	571671	5.43856	8/8
none	32	optimal	21.4331	21.4331	0	106666	1.39576	9/9
none	33	optimal	4.89935	4.89935	0	54392	0.269854	5/5
none	34	optimal	7.34903	7.34903	0	11560	0.0550353	5/5
none	35	optimal	1.43783	1.44519	0	2310	0.0115432	2/4
none	36	optimal	4.08813	4.08813	0	7217	0.0287268	4/4
none	21	optimal	16.1027	16.1027	0	762993	7.65111	9/9
none	38	optimal	4.24769	4.24769	0	2882	0.0195491	6/6
none	39	optimal	12.9182	12.9182	0	28791	0.43166	7/7
none	37	optimal	11.3526	11.3526	0	94496	1.13037	8/8
none	41	optimal	1.74473	1.74473	0	1002	0.00104771	4/4
none	42	optimal	4.82436	4.82436	0	8057	0.051692	4/4
none	31	optimal	20.0398	20.0398	0	421714	5.91403	10/10
none	44	optimal	10.7848	10.7848	0	93630	0.796644	6/6
none	45	optimal	1.94728	1.95781	0	689	0.00396233	2/3
none	46	optimal	2.11218	2.11218	0	77	0.00595708	4/4
none	47	optimal	5.67578	5.67578	0	22003	0.0957375	6/6
none	48	optimal	1.79811	1.89066	0	1301	0.00159496	2/3
none	49	optimal	4.15743	4.15743	0	10114	0.0184823	4/4
none	50	optimal	1.67493	1.92866	0	642	0.00083425	2/4
none	51	optimal	11.4282	11.4282	0	62195	0.622091	7/7
none	52	optimal	4.24816	4.48118	0	1709	0.00551496	3/4
none	53	optimal	0.360314	0.595248	0	222	0.00270021	1/3
none	54	optimal	11.6617	11.6617	0	787	0.00658333	9/9
none	55	optimal	3.69083	3.69083	0	190	0.00119346	6/6
none	56	optimal	1.36181	1.46143	0	387	0.000780708	3/4
none	57	optimal	1.81221	2.05789	0	850	0.00440883	1/4
none	58	optimal	7.59587	7.59587	0	32260	0.309761	7/7
none	59	optimal	4.98616	4.98616	0	3767	0.006219	5/5
none	60	optimal	8.28442	8.28442	0	65648	0.358395	6/6
none	61	optimal	7.61672	7.61672	0	185	0.000855	9/9
none	62	optimal	1.42332	1.48527	0	1805	0.00394267	1/3
none	63	optimal	13.8232	13.8232	0	13520	0.123469	9/9
none	64	optimal	1.29149	1.48254	0	213	0.00033575	3/5
none	65	optimal	4.24231	4.24231	0	5536	0.010178	4/4
none	66	optimal	0.443842	0.594488	0	102	0.000153583	1/3
none	67	optimal	2.49268	2.49268	0	2381	0.00376233	4/4
none	68	optimal	5.54658	5.54658	0	32969	0.200797	5/5
none	19	optimal	16.0594	16.0594	0	1710966	15.6677	8/8
none	40	optimal	15.1715	15.1715	0	694482	7.08338	8/8
none	69	optimal	19.979	19.979	0	20422	0.338844	10/10
none	71	optimal	2.30069	2.38397	0	527	0.00175367	2/3
none	72	optimal	4.36637	4.36637	0	12052	0.0721378	4/4
none	27	optimal	13.8298	13.8298	0	1403313	15.3499	9/9
none	75	optimal	15.3552	15.3552	0	492384	5.88155	10/10
none	29	optimal	12.7716	12.7716	0	1967208	21.5437	10/10
none	70	optimal	11.983	11.983	0	943188	9.20719	7/7
none	77	optimal	8.07579	8.07579	0	19998	0.151552	5/5
none	78	optimal	2.2946	2.2946	0	581	0.000858084	3/3
none	79	optimal	1.46653	1.58317	0	2507	0.0109076	1/3
none	80	optimal	10.8848	10.8848	0	126579	0.828094	6/6
none	82	optimal	5.6807	5.6807	0	24831	0.117752	5/5
none	83	optimal	3.16692	3.16692	0	1186	0.00438621	4/4
none	81	optimal	9.31223	9.5175	0	250761	2.62484	8/9
none	84	optimal	16.4791	16.4791	0	161803	1.99817	7/7
none	85	optimal	12.2381	12.2381	0	92112	0.714657	7/7
none	87	optimal	10.3594	10.3594	0	18580	0.150666	7/7
none	86	optimal	7.0216	7.0216	0	62150	0.350897	5/5
none	88	optimal	9.60852	9.60852	0	56359	0.431345	7/7
none	90	optimal	8.13109	8.13109	0	41882	0.374593	6/6
none	89	optimal	11.609	11.609	0	272812	2.12282	8/8
none	92	optimal	9.86649	9.86649	0	63976	0.761247	10/10
none	93	optimal	8.0633	8.22733	0	2157	0.0177611	5/6
none	91	optimal	11.7733	11.7733	0	352128	3.22004	8/8
none	95	optimal	5.1761	5.1761	0	12914	0.084823	7/7
none	94	optimal	26.6235	26.6235	0	236238	3.05766	8/8
none	97	optimal	3.30641	3.30641	0	2337	0.00500475	4/4
none	98	optimal	3.94188	3.94188	0	4096	0.0243037	5/5
none	99	optimal	11.3285	11.3285	0	439259	3.07129	7/7
none	100	optimal	0.368632	0.383001	0	322	0.000437708	2/3
gl	1	optimal	13.1002	13.1002	12.1248	71	0.000601834	10/10
gl	2	optimal	2.30619	2.30619	2.02845	49	0.000165542	5/5
gl	3	optimal	11.7156	11.7156	11.02	93	0.0040805	9/9
gl	4	optimal	3.68239	3.68985	2.98923	51	0.000915041	6/7
gl	5	optimal	9.22103	9.22103	8.82689	77	0.00317062	7/7
gl	6	optimal	4.52543	4.52543	4.19527	56	0.000266708	5/5
gl	7	optimal	3.84507	3.84507	3.48977	72	0.000271125	5/5
gl	8	optimal	10.5728	10.5728	10.1432	77	0.00321058	7/7
gl	9	optimal	7.60969	7.60969	7.15859	87	0.00059925	8/8
gl	10	optimal	2.76133	2.76133	2.37341	61	0.000312792	4/4
gl	11	optimal	10.9953	10.9953	9.83964	179	0.00225529	9/9
gl	12	optimal	8.23854	8.23854	7.46853	130	0.00235379	7/7
gl	13	optimal	15.0667	15.0667	14.1882	165	0.006751	9/9
gl	14	optimal	5.43699	5.54898	5.18107	67	0.000890042	7/8
gl	15	optimal	14.2524	14.2524	13.0881	101	0.00307471	8/8
gl	16	optimal	3.10128	3.10128	2.80613	75	0.0006105	4/4
gl	17	optimal	15.5994	15.5994	14.747	88	0.000842834	9/9
gl	18	optimal	3.59334	3.67465	3.20165	66	0.000638792	3/5
gl	19	optimal	16.0594	16.0594	14.6195	224	0.00938421	8/8
gl	20	optimal	9.3549	9.3549	8.78927	106	0.000824417	6/6
gl	21	optimal	16.1027	16.1027	15.4425	106	0.000909	9/9
gl	22	optimal	18.0171	18.0171	17.3857	130	0.00869392	10/10
gl	23	optimal	4.78327	4.78327	4.69385	75	0.000774333	4/4
gl	24	optimal	8.44729	8.44729	6.97506	107	0.00403504	7/7
gl	25	optimal	9.23882	9.23882	8.92421	106	0.000893083	6/6
gl	26	optimal	21.7117	21.7117	20.6271	126	0.00589729	10/10
gl	27	optimal	13.8298	13.8298	12.5408	126	0.00503454	9/9
gl	28	optimal	2.61732	2.61732	2.61732	62	0.000287125	5/5
gl	29	optimal	12.7716	12.7716	11.426	112	0.00466767	10/10
gl	30	optimal	6.21791	6.42487	5.84404	48	0.000239167	6/7
gl	31	optimal	20.0398	20.0398	19.1148	105	0.00414513	10/10
gl	32	optimal	21.4331	21.4331	20.8564	128	0.00524083	9/9
gl	33	optimal	4.89935	4.89935	4.6219	91	0.000856709	5/5
gl	34	optimal	7.34903	7.34903	7.09762	91	0.000556375	5/5
gl	35	optimal	1.43783	1.44519	1.33347	61	0.000217708	2/4
gl	36	optimal	4.08813	4.08813	3.81471	75	0.000272625	4/4
gl	37	optimal	11.3526	11.3526	10.9257	93	0.00387792	8/8
gl	38	optimal	4.24769	4.24769	3.81438	56	0.00030575	6/6
