# Outcome of every (configuration, instance family) cell of the option sweep.
# Generated by option_sweep_test; after reviewing a diff, regenerate with
#     GSS_SWEEP_REGENERATE=1 ./build/option_sweep_test
# A silent divergence fails the build whatever this file says; what this file is
# for is making a newly unsupported or newly vacuous cell show up as a reviewable
# diff rather than as nothing at all. See dev_docs/option-compatibility.md.
#
# config is one digit per option column, value 0 being the solver's default:
#   injectivity induced count clique-detection supplementals exact-paths distance3 k4 nds cliques cliques-on-supplementals staged restarts nogoods value-ordering 
# outcome: ok | unsupported (UnsupportedConfiguration thrown) | diverges
# activation: active if any optional filter removed anything in any instance of the cell
config	family	outcome	activation
001110101000000	loopy-undirected-vlabels	ok	active
001110101000000	loopy-undirected-vlabels-elabels	ok	active
001110101000000	pattern-bigger-than-target	ok	vacuous
010100001000002	clique-pattern	ok	active
010100001000002	equal-size	ok	active
010100001000002	loopless-directed-elabels	ok	active
010100001000002	loopless-directed-unlabelled	ok	active
010100001000002	loopless-directed-vlabels	ok	active
010100001000002	loopless-directed-vlabels-elabels	ok	active
010100001000002	loopless-undirected-elabels	ok	active
010100001000002	loopless-undirected-unlabelled	ok	active
010100001000002	loopless-undirected-vlabels	ok	active
010100001000002	loopless-undirected-vlabels-elabels	ok	active
010100001000002	loopy-directed-elabels	ok	active
010100001000002	loopy-directed-unlabelled	ok	active
010100001000002	loopy-directed-vlabels	ok	active
010100001000002	loopy-directed-vlabels-elabels	ok	active
010100001000002	loopy-undirected-elabels	ok	active
010100001000002	loopy-undirected-unlabelled	ok	active
010100001000002	loopy-undirected-vlabels	ok	active
010100001000002	loopy-undirected-vlabels-elabels	ok	active
010100001000002	pattern-bigger-than-target	ok	vacuous
011111111111111	clique-pattern	ok	active
011111111111111	equal-size	ok	active
011111111111111	loopless-directed-elabels	ok	active
011111111111111	loopless-directed-unlabelled	ok	active
011111111111111	loopless-directed-vlabels	ok	active
011111111111111	loopless-directed-vlabels-elabels	ok	active
011111111111111	loopless-undirected-elabels	ok	active
011111111111111	loopless-undirected-unlabelled	ok	active
011111111111111	loopless-undirected-vlabels	ok	active
011111111111111	loopless-undirected-vlabels-elabels	ok	active
011111111111111	loopy-directed-elabels	ok	active
011111111111111	loopy-directed-unlabelled	ok	active
011111111111111	loopy-directed-vlabels	ok	active
011111111111111	loopy-directed-vlabels-elabels	ok	active
011111111111111	loopy-undirected-elabels	ok	vacuous
011111111111111	loopy-undirected-unlabelled	ok	active
011111111111111	loopy-undirected-vlabels	ok	active
011111111111111	loopy-undirected-vlabels-elabels	ok	active
011111111111111	pattern-bigger-than-target	ok	vacuous
100000000000004	clique-pattern	ok	vacuous
100000000000004	equal-size	ok	active
100000000000004	loopless-directed-elabels	ok	active
100000000000004	loopless-directed-unlabelled	ok	active
100000000000004	loopless-directed-vlabels	ok	active
100000000000004	loopless-directed-vlabels-elabels	ok	active
100000000000004	loopless-undirected-elabels	ok	active
100000000000004	loopless-undirected-unlabelled	ok	active
100000000000004	loopless-undirected-vlabels	ok	active
100000000000004	loopless-undirected-vlabels-elabels	ok	active
100000000000004	loopy-directed-elabels	ok	vacuous
100000000000004	loopy-directed-unlabelled	ok	vacuous
100000000000004	loopy-directed-vlabels	ok	vacuous
100000000000004	loopy-directed-vlabels-elabels	ok	vacuous
100000000000004	loopy-undirected-elabels	ok	vacuous
100000000000004	loopy-undirected-unlabelled	ok	vacuous
100000000000004	loopy-undirected-vlabels	ok	vacuous
100000000000004	loopy-undirected-vlabels-elabels	ok	vacuous
100000000000004	pattern-bigger-than-target	ok	active
100000000000201	clique-pattern	ok	vacuous
100000000000201	equal-size	ok	active
100000000000201	loopless-directed-elabels	ok	active
100000000000201	loopless-directed-unlabelled	ok	active
100000000000201	loopless-directed-vlabels	ok	active
100000000000201	loopless-directed-vlabels-elabels	ok	active
100000000000201	loopless-undirected-elabels	ok	active
100000000000201	loopless-undirected-unlabelled	ok	active
